# Time-averaged data for fix printdipole
# TimeStep v_mytime v_totaldipolex v_totaldipoley v_totaldipolez
10018 2504.5000000000 -0.0387992589 0.8404393309 0.4034951510
10020 2505.0000000000 -0.0582560695 0.8472744234 0.4232051459
10022 2505.5000000000 -0.0211120001 0.8453216709 0.4519190688
10024 2506.0000000000 -0.0487579768 0.8827264372 0.4673441117
10026 2506.5000000000 -0.0396825926 0.9071645916 0.4643282945
10028 2507.0000000000 -0.0672639380 0.9006866787 0.4624268908
10030 2507.5000000000 -0.0457943270 0.9293631185 0.4628036303
10032 2508.0000000000 -0.0740474060 0.9340726780 0.4633418920
10034 2508.5000000000 -0.0827089851 0.9495623325 0.4654289557
10036 2509.0000000000 -0.0951170415 0.9827092043 0.4504472286
10038 2509.5000000000 -0.1125913064 0.9590654132 0.4512881839
10040 2510.0000000000 -0.1140147063 0.9744221931 0.4636680803
10042 2510.5000000000 -0.1027059390 0.9708085255 0.4505515535
10044 2511.0000000000 -0.1311218119 0.9711166012 0.4716398808
10046 2511.5000000000 -0.1034868036 0.9908809526 0.4659138166
10048 2512.0000000000 -0.1395234448 0.9898359258 0.4932816101
10050 2512.5000000000 -0.0889863081 0.9752852855 0.5146829257
10052 2513.0000000000 -0.1016900175 0.9905611355 0.5234218764
10054 2513.5000000000 -0.0844653211 1.0158108378 0.5285327675
10056 2514.0000000000 -0.0898869941 1.0198136587 0.5511410994
10058 2514.5000000000 -0.0565178337 1.0433698752 0.5359403782
10060 2515.0000000000 -0.0748370078 1.0568474157 0.5884663173
10062 2515.5000000000 -0.0463950632 1.0606675720 0.5346905544
10064 2516.0000000000 -0.0672292771 1.0888189999 0.5504061149
10066 2516.5000000000 -0.0329626665 1.0965814326 0.5228829233
10068 2517.0000000000 -0.0612265968 1.1147084166 0.5124512665
10070 2517.5000000000 -0.0440379220 1.1252881023 0.4926115081
10072 2518.0000000000 -0.0517648165 1.1058376320 0.4633417295
10074 2518.5000000000 -0.0302186321 1.1240642103 0.4299847893
10076 2519.0000000000 -0.0630164044 1.1196766639 0.4131672562
10078 2519.5000000000 -0.0188004200 1.1212174275 0.3904338119
10080 2520.0000000000 -0.0443716037 1.1299923448 0.3718062358
10082 2520.5000000000 -0.0043980721 1.1119434317 0.3524533749
10084 2521.0000000000 -0.0180796475 1.1149615342 0.3455150026
10086 2521.5000000000 0.0288500598 1.1091916803 0.3375518037
10088 2522.0000000000 0.0127665142 1.1376495957 0.3421724744
10090 2522.5000000000 0.0525250471 1.1488282584 0.3244588309
10092 2523.0000000000 0.0497646630 1.1329821835 0.3306402506
10094 2523.5000000000 0.0948398985 1.1596267947 0.3400183730
10096 2524.0000000000 0.0933914633 1.1505376824 0.3359286964
10098 2524.5000000000 0.1144052455 1.1804237557 0.3386546372
10100 2525.0000000000 0.1188269125 1.1795483233 0.3054741668
10102 2525.5000000000 0.1451796408 1.1904958519 0.3157532466
10104 2526.0000000000 0.1104018859 1.1930566552 0.2996247185
10106 2526.5000000000 0.1587486727 1.1728102600 0.2694301970
10108 2527.0000000000 0.1179196825 1.1746318656 0.2699498032
10110 2527.5000000000 0.1509012635 1.1920619135 0.2140446115
10112 2528.0000000000 0.0970181629 1.1818755881 0.2099814615
10114 2528.5000000000 0.1298185338 1.1654596101 0.1980228089
10116 2529.0000000000 0.0927816886 1.1718956617 0.1574980755
10118 2529.5000000000 0.1094380404 1.1456346043 0.1396360627
10120 2530.0000000000 0.0666445845 1.1572612934 0.1376789156
10122 2530.5000000000 0.1048614046 1.1841374863 0.1095238825
10124 2531.0000000000 0.0610660841 1.1560409685 0.1500016817
10126 2531.5000000000 0.0836533901 1.1831250252 0.0943078260
10128 2532.0000000000 0.0805203930 1.1466047997 0.1200416037
10130 2532.5000000000 0.0789411496 1.1731684952 0.1159333313
10132 2533.0000000000 0.0727089696 1.2195681026 0.1314965694
10134 2533.5000000000 0.0911346113 1.1739691806 0.1257046356
10136 2534.0000000000 0.0818061490 1.1924132150 0.1249387465
10138 2534.5000000000 0.1032978943 1.1807769259 0.1063006137
10140 2535.0000000000 0.0610636985 1.1689171535 0.1222455839
10142 2535.5000000000 0.0884592880 1.1869356982 0.0867553742
10144 2536.0000000000 0.0528553562 1.1719340972 0.0867872474
10146 2536.5000000000 0.0605580825 1.1471441201 0.0426278638
10148 2537.0000000000 0.0211591948 1.1511916548 0.0289553703
10150 2537.5000000000 0.0284903734 1.1009358702 0.0154148356
10152 2538.0000000000 -0.0042014095 1.1093869313 -0.0255831613
10154 2538.5000000000 -0.0160204858 1.1211700689 -0.0530660315
10156 2539.0000000000 -0.0354614455 1.0646966299 -0.0645595943
10158 2539.5000000000 -0.0228320865 1.0840662920 -0.0885562968
10160 2540.0000000000 -0.0648530160 1.0649551197 -0.0864441849
10162 2540.5000000000 -0.0346498088 1.0264321622 -0.1052805012
10164 2541.0000000000 -0.0408012891 1.0694304525 -0.1177116319
10166 2541.5000000000 -0.0240499476 1.0373693686 -0.0942867729
10168 2542.0000000000 -0.0203616050 1.0375246181 -0.0839982429
10170 2542.5000000000 0.0061004587 1.0483110887 -0.0806658585
10172 2543.0000000000 0.0035646720 0.9914514513 -0.0696837846
10174 2543.5000000000 0.0382514292 1.0385327083 -0.0675962436
10176 2544.0000000000 0.0207503804 1.0164023490 -0.0410221096
10178 2544.5000000000 0.0649157034 0.9847115451 -0.0136702729
10180 2545.0000000000 0.0401320327 1.0049030245 -0.0354885834
10182 2545.5000000000 0.0451461326 0.9459302448 -0.0286944466
10184 2546.0000000000 0.0342956571 0.9650374907 -0.0271077721
10186 2546.5000000000 0.0324316848 0.9285994429 -0.0342983911
10188 2547.0000000000 0.0131686568 0.9172704171 -0.0240284068
10190 2547.5000000000 -0.0121523474 0.9020345353 -0.0598007646
10192 2548.0000000000 -0.0099961624 0.8528163070 -0.0540611174
10194 2548.5000000000 -0.0293965609 0.8496194540 -0.0544098899
10196 2549.0000000000 -0.0539858910 0.8388610873 -0.0628217909
10198 2549.5000000000 -0.0427015854 0.8159579816 -0.0546356389
10200 2550.0000000000 -0.0506917418 0.7872479035 -0.0713330439
10202 2550.5000000000 -0.0505531601 0.7904707895 -0.0624259434
10204 2551.0000000000 -0.0314220637 0.7563652866 -0.0317395585
10206 2551.5000000000 -0.0257133329 0.7695746766 -0.0298149632
10208 2552.0000000000 -0.0024388802 0.7678696511 -0.0066964709
10210 2552.5000000000 0.0097146888 0.7380525471 0.0026226815
10212 2553.0000000000 0.0297048759 0.7551536613 0.0272903021
10214 2553.5000000000 0.0594832337 0.7217317350 0.0503820007
10216 2554.0000000000 0.0520582904 0.7405255299 0.0330954904
10218 2554.5000000000 0.0610030512 0.7469590565 0.0641782912
10220 2555.0000000000 0.0700750297 0.7259261810 0.0578711461
10222 2555.5000000000 0.0717919012 0.7090284115 0.0626587583
10224 2556.0000000000 0.0562661812 0.7183645117 0.0595853018
10226 2556.5000000000 0.0483062403 0.6948157394 0.0315383389
10228 2557.0000000000 0.0326773965 0.6832698908 0.0304790626
10230 2557.5000000000 0.0146636132 0.6858678487 0.0115013724
10232 2558.0000000000 0.0015797003 0.6539447937 0.0029343781
10234 2558.5000000000 0.0047907037 0.6587806998 -0.0188015674
10236 2559.0000000000 -0.0126379715 0.6331471141 -0.0384152764
10238 2559.5000000000 -0.0148840928 0.6326676428 -0.0422957421
10240 2560.0000000000 -0.0089540092 0.6450066504 -0.0327011482
10242 2560.5000000000 0.0209647976 0.6350429292 -0.0414188912
10244 2561.0000000000 0.0239342740 0.6530859018 -0.0578401305
10246 2561.5000000000 0.0493700208 0.6605551100 -0.0400645758
10248 2562.0000000000 0.0711482975 0.6478688323 -0.0322235045
10250 2562.5000000000 0.0978619626 0.7143590813 -0.0211410181
10252 2563.0000000000 0.1307443938 0.7176946356 -0.0269871494
10254 2563.5000000000 0.1408035048 0.7346065750 -0.0043996550
10256 2564.0000000000 0.1683047400 0.7828510151 -0.0280745073
10258 2564.5000000000 0.1773979274 0.7406490268 -0.0091421081
10260 2565.0000000000 0.1830291392 0.8293876782 -0.0321131710
10262 2565.5000000000 0.1803496389 0.8094345738 -0.0313072735
10264 2566.0000000000 0.1861659980 0.8105701575 -0.0545323958
10266 2566.5000000000 0.1465820955 0.8418965183 -0.0626019552
10268 2567.0000000000 0.1805076729 0.8093833044 -0.0770125022
10270 2567.5000000000 0.1324158312 0.8354523489 -0.1014726122
10272 2568.0000000000 0.1327393557 0.8605578187 -0.1224299930
10274 2568.5000000000 0.1180582124 0.8297462236 -0.1302305619
10276 2569.0000000000 0.1160662069 0.8443827151 -0.1237271736
10278 2569.5000000000 0.1234492894 0.8671152860 -0.1552108200
10280 2570.0000000000 0.1214321332 0.8532213285 -0.1488728009
10282 2570.5000000000 0.1109554991 0.9078419374 -0.1422305824
10284 2571.0000000000 0.1511026962 0.9251556333 -0.1259514497
10286 2571.5000000000 0.1495102846 0.9339978485 -0.1368292281
10288 2572.0000000000 0.1963284356 1.0121971360 -0.1228780384
10290 2572.5000000000 0.1738944892 0.9825665659 -0.1138808565
10292 2573.0000000000 0.2117703791 1.0405625595 -0.1134185940
10294 2573.5000000000 0.2122426667 1.1003784986 -0.0762353198
10296 2574.0000000000 0.2251181331 1.0807309415 -0.0961116586
10298 2574.5000000000 0.2387656888 1.1269738676 -0.0916178141
10300 2575.0000000000 0.2111285366 1.1338375494 -0.1021345791
10302 2575.5000000000 0.2182255859 1.1127422143 -0.0901345974
10304 2576.0000000000 0.1997531508 1.1630928787 -0.0879043099
10306 2576.5000000000 0.1763891464 1.1541272015 -0.1141392463
10308 2577.0000000000 0.1646387564 1.1314416662 -0.1285274269
10310 2577.5000000000 0.1451174778 1.1430787543 -0.1138318169
10312 2578.0000000000 0.1156305500 1.1018326076 -0.1142848978
10314 2578.5000000000 0.1301469453 1.1345813507 -0.1216905240
10316 2579.0000000000 0.0912979892 1.1590466535 -0.1387665992
10318 2579.5000000000 0.0987385638 1.1273074769 -0.1117473226
10320 2580.0000000000 0.1006731087 1.1594212622 -0.1336249851
10322 2580.5000000000 0.1116633785 1.1812138288 -0.0899580502
